日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2010-12-31,'000011,深物业A,6.83,6.86,6.69,6.7,6.69,0.14,2.0927,1.8311,2558763,17343856.07,4070537198.36,954405745.34
2010-12-30,'000011,深物业A,6.69,6.73,6.55,6.7,6.73,-0.04,-0.5944,1.4602,2040426,13593784.5,3987100125.48,934842523.62
2010-12-29,'000011,深物业A,6.73,6.78,6.61,6.75,6.7,0.03,0.4478,1.5064,2105032,14097827.86,4010939289.16,940432015.54
2010-12-28,'000011,深物业A,6.7,7.06,6.7,7.06,7.1,-0.4,-5.6338,3.6821,5145263,35202107.21,3993059916.4,936239896.6
2010-12-27,'000011,深物业A,7.1,7.42,7.1,7.31,7.42,-0.32,-4.3127,3.9448,5512333,40013904.18,4231451553.2,992134815.8
2010-12-24,'000011,深物业A,7.42,7.6,7.23,7.28,7.28,0.14,1.9231,4.5584,6369744,47589909.89,4422164862.64,1036850751.16
2010-12-23,'000011,深物业A,7.28,7.46,7.25,7.34,7.37,-0.09,-1.2212,2.4461,3418061,25215007.17,4338727789.76,1017287529.44
2010-12-22,'000011,深物业A,7.37,7.62,7.36,7.52,7.57,-0.2,-2.642,2.8981,4049676,30290691.23,4392365908.04,1029863886.26
2010-12-21,'000011,深物业A,7.57,7.64,7.25,7.26,7.26,0.31,4.27,4.8529,6781328,50711111.7,4511561726.44,1057811345.86
2010-12-20,'000011,深物业A,7.26,7.57,7.15,7.53,7.51,-0.25,-3.3289,2.8754,4018023,29471718.88,4326808207.92,1014492783.48
2010-12-17,'000011,深物业A,7.51,7.52,7.39,7.45,7.5,0.01,0.1333,2.2266,3111329,23194514.24,4475802980.92,1049427107.98
2010-12-16,'000011,深物业A,7.5,7.58,7.3,7.38,7.35,0.15,2.0408,4.4956,6282031,46896370.62,4469843190.0,1048029735.0
2010-12-15,'000011,深物业A,7.35,7.42,7.27,7.37,7.38,-0.03,-0.4065,2.6669,3726599,27365236.73,4380446326.2,1027069140.3
2010-12-14,'000011,深物业A,7.38,7.4,7.26,7.32,7.3,0.08,1.0959,2.7799,3884518,28485711.14,4398325698.96,1031261259.24
2010-12-13,'000011,深物业A,7.3,7.32,7.17,7.2,7.15,0.15,2.0979,2.9625,4139653,30017475.86,4350647371.6,1020082275.4
2010-12-10,'000011,深物业A,7.15,7.23,7.04,7.15,7.17,-0.02,-0.2789,2.2027,3077989,21984843.07,4261250507.8,999121680.7
2010-12-09,'000011,深物业A,7.17,7.52,7.1,7.52,7.56,-0.39,-5.1587,4.6054,6435468,46871590.5,4273170089.64,1001916426.66
2010-12-08,'000011,深物业A,7.56,7.8,7.53,7.71,7.85,-0.29,-3.6943,5.5943,7817391,59897964.36,4505601935.52,1056413972.88
2010-12-07,'000011,深物业A,7.85,8.0,7.51,7.53,7.57,0.28,3.6988,12.0404,16824991,131695104.12,4678435872.2,1096937789.3
2010-12-06,'000011,深物业A,7.57,7.6,7.36,7.52,7.57,0.0,0.0,3.1211,4361281,32705777.1,4511561726.44,1057811345.86
2010-12-03,'000011,深物业A,7.57,7.6,7.41,7.41,7.5,0.07,0.9333,3.1421,4390719,33020750.1,4511561726.44,1057811345.86
2010-12-02,'000011,深物业A,7.5,7.65,7.37,7.51,7.47,0.03,0.4016,5.5841,7803092,58399504.22,4469843190.0,1048029735.0
2010-12-01,'000011,深物业A,7.47,7.52,7.32,7.36,7.35,0.12,1.6327,3.3091,4624064,34301003.23,4451963817.24,1043837616.06
2010-11-30,'000011,深物业A,7.35,7.74,7.28,7.7,7.7,-0.35,-4.5455,3.8757,5415826,40226541.02,4380446326.2,1027069140.3
2010-11-29,'000011,深物业A,7.7,7.74,7.6,7.65,7.66,0.04,0.5222,1.7999,2515187,19315577.93,4589039008.4,1075977194.6
2010-11-26,'000011,深物业A,7.66,7.83,7.6,7.8,7.86,-0.2,-2.5445,3.1619,4418378,33927457.11,4565199844.72,1070387702.68
2010-11-25,'000011,深物业A,7.86,7.99,7.71,7.82,7.76,0.1,1.2887,4.0372,5641515,44412386.36,4684395663.12,1098335162.28
2010-11-24,'000011,深物业A,7.76,7.81,7.55,7.6,7.67,0.09,1.1734,2.8433,3973100,30700817.96,4624797753.92,1084361432.48
2010-11-23,'000011,深物业A,7.67,7.8,7.48,7.78,7.81,-0.14,-1.7926,3.1296,4373227,33377226.2,4571159635.64,1071785075.66
2010-11-22,'000011,深物业A,7.81,7.82,7.52,7.66,7.71,0.1,1.297,2.7537,3847963,29589994.5,4654596708.52,1091348297.38
2010-11-19,'000011,深物业A,7.71,7.79,7.46,7.79,7.83,-0.12,-1.5326,2.4545,3429782,26210316.23,4594998799.32,1077374567.58
2010-11-18,'000011,深物业A,7.83,7.92,7.56,7.83,7.68,0.15,1.9531,2.0869,2916202,22595377.72,4666516290.36,1094143043.34
2010-11-17,'000011,深物业A,7.68,7.87,7.51,7.51,7.6,0.08,1.0526,2.6489,3701524,28485992.97,4577119426.56,1073182448.64
2010-11-16,'000011,深物业A,7.6,8.01,7.53,7.91,7.9,-0.3,-3.7975,2.8793,4023471,31546788.67,4529441099.2,1062003464.8
2010-11-15,'000011,深物业A,7.9,7.93,7.73,7.9,7.84,0.06,0.7653,2.3455,3277569,25620562.3,4708234826.8,1103924654.2
2010-11-12,'000011,深物业A,7.84,8.53,7.8,8.52,8.57,-0.73,-8.5181,6.1658,8615881,70312446.95,4672476081.28,1095540416.32
2010-11-11,'000011,深物业A,8.57,8.72,8.55,8.6,8.6,-0.03,-0.3488,4.1319,5773736,49978936.95,5107540818.44,1197548643.86
2010-11-10,'000011,深物业A,8.6,8.89,8.58,8.83,8.89,-0.29,-3.2621,5.3334,7452717,64544194.64,5125420191.2,1201740762.8
2010-11-09,'000011,深物业A,8.89,9.02,8.82,9.02,9.07,-0.18,-1.9846,5.4191,7572486,67486449.62,5298254127.88,1242264579.22
2010-11-08,'000011,深物业A,9.07,9.18,8.78,8.78,8.76,0.31,3.5388,8.7473,12223186,109488600.05,5405530364.44,1267417292.86
2010-11-05,'000011,深物业A,8.76,8.92,8.68,8.86,8.84,-0.08,-0.905,6.5962,9217350,80893792.26,5220776845.92,1224098730.48
2010-11-04,'000011,深物业A,8.84,9.0,8.75,8.77,8.86,-0.02,-0.2257,4.6425,6487282,57313766.24,5268455173.28,1235277714.32
2010-11-03,'000011,深物业A,8.86,8.97,8.54,8.66,8.67,0.19,2.1915,7.6007,10621004,93692400.8,5280374755.12,1238072460.28
2010-11-02,'000011,深物业A,8.67,8.87,8.42,8.61,8.65,0.02,0.2312,5.7731,8067181,69411164.27,5167138727.64,1211522373.66
2010-11-01,'000011,深物业A,8.65,8.71,8.41,8.61,8.72,-0.07,-0.8028,5.3662,7498625,64237404.76,5155219145.8,1208727627.7
2010-10-29,'000011,深物业A,8.72,8.88,8.49,8.83,8.79,-0.07,-0.7964,4.3554,6086133,52712027.96,5196937682.24,1218509238.56
2010-10-28,'000011,深物业A,8.79,8.99,8.66,8.68,8.7,0.09,1.0345,5.5798,7797007,68994976.6,5238656218.68,1228290849.42
2010-10-27,'000011,深物业A,8.7,8.91,8.61,8.69,8.72,-0.02,-0.2294,5.7746,8069304,70771200.98,5185018100.4,1215714492.6
2010-10-26,'000011,深物业A,8.72,8.75,8.38,8.4,8.38,0.34,4.0573,6.8396,9557425,82447878.66,5196937682.24,1218509238.56
2010-10-25,'000011,深物业A,8.38,8.44,8.24,8.24,8.28,0.1,1.2077,3.0657,4283946,35829055.75,4994304790.96,1170998557.24
2010-10-22,'000011,深物业A,8.28,8.32,8.2,8.28,8.31,-0.03,-0.361,2.3594,3296996,27206158.22,4934706881.76,1157024827.44
2010-10-21,'000011,深物业A,8.31,8.37,8.15,8.25,8.2,0.11,1.3415,2.2254,3109694,25702028.99,4952586254.52,1161216946.38
2010-10-20,'000011,深物业A,8.2,8.35,8.1,8.25,8.54,-0.34,-3.9813,4.4405,6205099,51061843.96,4887028554.4,1145845843.6
2010-10-19,'000011,深物业A,8.54,8.61,8.36,8.5,8.5,0.04,0.4706,3.6538,5105690,43174522.65,5089661445.68,1193356524.92
